rank,feature,brain_score
1,7Networks_RH_Cont_PFCl_7,0.939440987681233
2,7Networks_RH_Limbic_OFC_1,0.926211542383374
3,7Networks_RH_Default_pCunPCC_3,0.9211898630278442
4,7Networks_RH_Limbic_OFC_3,0.9154568439788485
5,7Networks_LH_DorsAttn_Post_9,0.9148191947344108
6,7Networks_LH_Default_pCunPCC_4,0.9068572002349988
7,7Networks_RH_DorsAttn_Post_9,0.9021069779157034
8,7Networks_LH_SomMot_16,0.8953648947144506
9,7Networks_RH_Default_PFCdPFCm_4,0.892325353154543
10,7Networks_LH_DorsAttn_Post_10,0.8792712363789449
11,7Networks_LH_SomMot_13,0.8786795135214883
12,7Networks_RH_Cont_PFCmp_2,0.8635603731892754
13,7Networks_LH_SalVentAttn_Med_2,0.8409799737048785
14,7Networks_RH_DorsAttn_Post_10,0.8337934232669295
15,7Networks_RH_SomMot_18,0.8239266108837857
16,7Networks_RH_Default_pCunPCC_2,0.8237693668974909
17,7Networks_LH_DorsAttn_Post_8,0.8235699558173395
18,7Networks_RH_SomMot_17,0.8206826338297546
19,7Networks_LH_SomMot_15,0.8013980506014633
20,7Networks_RH_SomMot_19,0.7719920109302132
21,7Networks_RH_Default_Par_2,0.7711289885531746
22,7Networks_LH_DorsAttn_Post_7,0.7693878663394523
23,7Networks_RH_Cont_PFCl_4,0.76912835425513
24,7Networks_RH_SomMot_16,0.7685060370830707
25,7Networks_RH_Limbic_OFC_2,0.7576137150987369
26,7Networks_RH_SomMot_1,0.7567717925206452
27,7Networks_LH_SomMot_8,0.7558438645366367
28,7Networks_LH_SomMot_3,0.7472116040717355
29,7Networks_RH_Vis_6,0.7216356533793813
30,7Networks_LH_SomMot_5,0.7201998901050126
31,7Networks_RH_Limbic_TempPole_3,0.7165608108878112
32,7Networks_RH_Cont_PFCl_2,0.7115716776588215
33,7Networks_LH_Limbic_OFC_2,0.7061667693262639
34,7Networks_LH_SomMot_11,0.7040445100091873
35,7Networks_RH_Default_PFCv_1,0.6901836897853774
36,7Networks_RH_Cont_PFCl_1,0.6847371411649048
37,7Networks_RH_SomMot_13,0.6755881758824904
38,7Networks_RH_SomMot_15,0.6691007027826869
39,7Networks_RH_SomMot_12,0.6653777984637314
40,7Networks_RH_SalVentAttn_Med_2,0.6616385547977065
41,7Networks_RH_Vis_3,0.6575986477257192
42,7Networks_RH_SomMot_11,0.6516071933881007
43,7Networks_LH_Vis_2,0.6493630709346963
44,7Networks_RH_SalVentAttn_FrOperIns_1,0.6469402433877554
45,7Networks_RH_Cont_Temp_1,0.6457814736533001
46,7Networks_LH_Limbic_TempPole_1,0.6449384386208157
47,7Networks_LH_SomMot_12,0.6353288638377569
48,7Networks_RH_SomMot_4,0.6336678378654937
49,7Networks_LH_Cont_Cing_2,0.6333601447559524
50,7Networks_RH_Default_PFCdPFCm_5,0.6310673416857444
51,7Networks_LH_Vis_5,0.624417168040007
52,7Networks_LH_Cont_Par_2,0.6174449069408824
53,7Networks_RH_SomMot_14,0.6168938166010489
54,7Networks_LH_Limbic_TempPole_4,0.6130373509737106
55,7Networks_LH_SalVentAttn_PFCl_1,0.6046371821667399
56,7Networks_RH_Limbic_TempPole_2,0.6043061071361502
57,7Networks_RH_Default_Temp_2,0.5999297295245436
58,7Networks_RH_DorsAttn_Post_8,0.5955993000884722
59,7Networks_LH_Limbic_OFC_1,0.593346162048637
60,7Networks_LH_Default_pCunPCC_2,0.5928055624688247
61,7Networks_LH_SomMot_7,0.5916045181351376
62,7Networks_RH_SalVentAttn_Med_3,0.5911427546943809
63,7Networks_LH_Default_PFC_10,0.5878340864830234
64,7Networks_LH_DorsAttn_Post_3,0.586426709291486
65,7Networks_RH_Cont_PFCv_1,0.5857070591480791
66,7Networks_LH_Default_PFC_2,0.5834545278815264
67,7Networks_LH_Cont_PFCl_4,0.5827362738923169
68,7Networks_RH_SomMot_8,0.5776974727473921
69,7Networks_LH_SalVentAttn_Med_3,0.5751292002950652
70,7Networks_LH_SomMot_14,0.573718796339314
71,7Networks_LH_Vis_7,0.5724667044374494
72,7Networks_RH_Cont_Par_3,0.5686703936240103
73,7Networks_RH_Default_PFCdPFCm_7,0.568652746646822
74,7Networks_LH_Cont_pCun_1,0.567763288248337
75,7Networks_LH_Vis_4,0.5664247015073467
76,7Networks_RH_Cont_Cing_1,0.5660453169848056
77,7Networks_RH_DorsAttn_Post_6,0.5652229005776391
78,7Networks_LH_Default_pCunPCC_3,0.5637246803046212
79,7Networks_RH_Default_PFCdPFCm_6,0.5595896873499733
80,7Networks_LH_SomMot_10,0.5578426016669932
81,7Networks_LH_DorsAttn_Post_6,0.555549677988631
82,7Networks_RH_DorsAttn_Post_1,0.5541261140032184
83,7Networks_RH_Default_PFCdPFCm_2,0.5526973555554593
84,7Networks_RH_Vis_12,0.5507305844081684
85,7Networks_LH_Cont_PFCl_2,0.5477525471005494
86,7Networks_LH_Vis_6,0.546031879986631
87,7Networks_RH_Cont_Cing_2,0.5451968767585903
88,7Networks_LH_SomMot_2,0.5405948499540518
89,7Networks_LH_Default_PFC_4,0.5393564068658115
90,7Networks_RH_SomMot_3,0.5329175660727654
91,7Networks_LH_DorsAttn_FEF_1,0.5260982421833458
92,7Networks_RH_Cont_PFCl_5,0.5256869172100723
93,7Networks_RH_SomMot_6,0.5240961157266056
94,7Networks_RH_DorsAttn_Post_2,0.5226425224040255
95,7Networks_LH_Default_Temp_2,0.522571150837354
96,7Networks_LH_Cont_PFCl_1,0.521893543794573
97,7Networks_RH_Vis_5,0.5212983645852944
98,7Networks_RH_DorsAttn_FEF_1,0.5196641280017119
99,7Networks_LH_Cont_Temp_1,0.5163259528682663
100,7Networks_LH_DorsAttn_Post_1,0.5156801553609032
101,7Networks_RH_SalVentAttn_TempOccPar_1,0.5134950980702006
102,7Networks_RH_Vis_4,0.5039160449450122
103,7Networks_RH_Vis_10,0.502032492974535
104,7Networks_LH_Default_PHC_1,0.5009716244055921
105,7Networks_RH_Vis_1,0.4933153552015351
106,7Networks_LH_Limbic_TempPole_2,0.4909528640970064
107,7Networks_LH_Default_pCunPCC_1,0.48937684147728794
108,7Networks_RH_Default_PFCdPFCm_1,0.4891235622267643
109,7Networks_RH_DorsAttn_Post_7,0.4852306255856808
110,7Networks_LH_Vis_3,0.48396477163545276
111,7Networks_RH_SalVentAttn_TempOccPar_2,0.47939211754737715
112,7Networks_RH_Default_Par_1,0.47883901999679057
113,7Networks_LH_SomMot_1,0.47700926214555933
