rank,feature,brain_score
1,7Networks_LH_Default_Temp_2,0.9238687717536427
2,7Networks_RH_Default_Temp_2,0.9192033956346641
3,7Networks_LH_Vis_5,0.9175822493807618
4,7Networks_LH_Cont_Temp_1,0.9093828480454467
5,7Networks_LH_Limbic_TempPole_2,0.8891806353889568
6,7Networks_LH_DorsAttn_Post_10,0.8890025992332082
7,7Networks_RH_DorsAttn_Post_10,0.8764313570303155
8,7Networks_LH_Limbic_TempPole_3,0.8725321396170594
9,7Networks_LH_Default_Temp_1,0.8707405036815067
10,7Networks_RH_Default_PFCdPFCm_1,0.8703130204819791
11,7Networks_LH_Default_PFC_2,0.857888612297187
12,7Networks_LH_Vis_9,0.8559497230968094
13,7Networks_RH_SomMot_15,0.8534944873266807
14,7Networks_RH_Limbic_TempPole_1,0.8380651304002075
15,7Networks_RH_Default_Temp_1,0.8367969363837958
16,7Networks_LH_Vis_11,0.8341794797883556
17,7Networks_RH_Vis_8,0.828107023855281
18,7Networks_RH_Cont_Temp_1,0.8239665791514637
19,7Networks_LH_Limbic_TempPole_1,0.8228310414041973
20,7Networks_RH_Limbic_TempPole_2,0.8223552652889043
21,7Networks_RH_SomMot_19,0.8194308634508312
22,7Networks_LH_SomMot_10,0.8151437911378273
23,7Networks_LH_DorsAttn_Post_8,0.8014502976101506
24,7Networks_RH_Limbic_TempPole_3,0.7950194515324117
25,7Networks_LH_SomMot_9,0.7932525496780388
26,7Networks_LH_SomMot_12,0.7907400756472548
27,7Networks_LH_SomMot_11,0.7899369342639524
28,7Networks_RH_SomMot_12,0.7777986135929111
29,7Networks_RH_SalVentAttn_FrOperIns_1,0.7719530682103242
30,7Networks_RH_SomMot_13,0.7622855721351369
31,7Networks_LH_Limbic_TempPole_4,0.7558144037826691
32,7Networks_RH_Vis_11,0.7432765225426252
33,7Networks_RH_SomMot_10,0.742249896062487
34,7Networks_RH_Default_PFCdPFCm_2,0.7421825943863111
35,7Networks_RH_SomMot_14,0.7386701964449668
36,7Networks_RH_Default_Par_3,0.7360747516739691
37,7Networks_RH_Default_PFCdPFCm_3,0.7238995625669977
38,7Networks_RH_SomMot_9,0.7193231119508076
39,7Networks_LH_SomMot_16,0.7187460701481583
40,7Networks_LH_SomMot_7,0.7087023631637382
41,7Networks_LH_Cont_PFCl_2,0.7028963144006956
42,7Networks_LH_SomMot_13,0.7020720625725789
43,7Networks_LH_SomMot_14,0.6889711098013503
44,7Networks_LH_Limbic_OFC_2,0.6833627640109418
45,7Networks_RH_Vis_14,0.6775328301328516
46,7Networks_RH_Cont_Par_1,0.6689073997377165
47,7Networks_LH_DorsAttn_Post_2,0.6674905544047025
48,7Networks_RH_Cont_PFCl_2,0.6593859428383699
49,7Networks_LH_Default_Par_2,0.6537781061727712
50,7Networks_RH_Vis_5,0.65089750210167
51,7Networks_LH_SomMot_6,0.6503515596822309
52,7Networks_RH_DorsAttn_Post_6,0.6399503600022123
53,7Networks_LH_Default_Temp_4,0.6392466165240945
54,7Networks_LH_Vis_14,0.6332721837378833
55,7Networks_LH_Default_PFC_6,0.6324433772309453
56,7Networks_LH_Limbic_OFC_1,0.6200070326397351
57,7Networks_RH_Cont_PFCl_3,0.6165354784374903
58,7Networks_RH_DorsAttn_Post_8,0.6136053072625348
59,7Networks_LH_Cont_Cing_2,0.6133568922652607
60,7Networks_LH_Default_PFC_11,0.6132696795894718
61,7Networks_LH_Default_Par_4,0.6104638491280806
62,7Networks_RH_Default_Par_1,0.6090896276906317
63,7Networks_RH_SomMot_17,0.6006208837703957
64,7Networks_LH_Cont_OFC_1,0.5976167888045794
65,7Networks_LH_Default_Par_3,0.5957480987775903
66,7Networks_RH_Limbic_OFC_3,0.5938969450663362
67,7Networks_RH_Limbic_OFC_1,0.592571146258276
68,7Networks_LH_DorsAttn_Post_7,0.5920939190575347
69,7Networks_RH_Vis_12,0.5902721048967674
70,7Networks_LH_Cont_Par_1,0.588597195003445
71,7Networks_RH_Limbic_OFC_2,0.5714891676277634
72,7Networks_LH_Vis_13,0.5708859528934743
73,7Networks_RH_SomMot_16,0.5673486081896723
74,7Networks_RH_SomMot_18,0.5589500204453343
75,7Networks_LH_Vis_3,0.5588283027896788
76,7Networks_RH_Cont_PFCl_5,0.5540328314431956
77,7Networks_RH_Cont_PFCl_1,0.5517856484528607
78,7Networks_LH_SalVentAttn_ParOper_3,0.5443443341462625
79,7Networks_LH_Default_PFC_1,0.5397197239713319
80,7Networks_RH_Default_PFCdPFCm_5,0.5390502438423936
81,7Networks_LH_DorsAttn_Post_9,0.536432528794596
82,7Networks_RH_SalVentAttn_Med_3,0.5360872950914289
83,7Networks_LH_Default_PFC_4,0.5351629116529594
84,7Networks_LH_SomMot_15,0.532162771184064
85,7Networks_LH_Vis_7,0.5316399340512108
86,7Networks_RH_Default_Temp_4,0.517796585981018
87,7Networks_RH_Cont_Cing_2,0.516897914616113
88,7Networks_RH_Default_Temp_3,0.5119576517238361
89,7Networks_LH_SalVentAttn_FrOperIns_1,0.5086688173809124
90,7Networks_LH_Default_PFC_9,0.5079894779078342
91,7Networks_LH_SalVentAttn_ParOper_2,0.5063121647517932
92,7Networks_RH_Vis_1,0.5020047310167577
93,7Networks_LH_Cont_Par_2,0.4972609323904787
94,7Networks_LH_Cont_PFCl_1,0.49616089833510046
95,7Networks_LH_Default_PFC_5,0.49476453212556415
96,7Networks_RH_SomMot_7,0.4913195270123096
97,7Networks_RH_Cont_Par_3,0.483774450859725
98,7Networks_LH_SalVentAttn_PFCl_1,0.4828302692593549
99,7Networks_RH_Cont_Par_2,0.47659697292899106
100,7Networks_LH_SalVentAttn_Med_3,0.4729580313349515
101,7Networks_RH_DorsAttn_FEF_1,0.47040691567874793
102,7Networks_LH_Default_Temp_3,0.46492126654409827
103,7Networks_RH_Default_PFCdPFCm_7,0.4617627738466441
104,7Networks_LH_Default_PFC_7,0.46097290857132606
105,7Networks_RH_Default_PFCdPFCm_4,0.4590403067929207
106,7Networks_LH_DorsAttn_Post_4,0.4581635318111814
107,7Networks_LH_DorsAttn_FEF_2,0.45802976851442323
108,7Networks_RH_DorsAttn_Post_9,0.45489423569062926
109,7Networks_RH_Cont_PFCv_1,0.44329804517257476
110,7Networks_LH_Default_PFC_13,0.4373470865409556
111,7Networks_LH_DorsAttn_FEF_1,0.4343712404347282
112,7Networks_LH_Default_PFC_8,0.4298402159665052
113,7Networks_RH_DorsAttn_Post_1,0.42731985026146896
114,7Networks_LH_DorsAttn_Post_1,0.4262662426753227
115,7Networks_LH_Cont_PFCl_3,0.423896515273415
116,7Networks_RH_Vis_15,0.41328013393084573
117,7Networks_RH_Cont_PFCl_7,0.41279255674903836
118,7Networks_RH_DorsAttn_Post_3,0.41072887547029446
119,7Networks_RH_DorsAttn_Post_7,0.40953064699928965
120,7Networks_RH_SalVentAttn_PrC_1,0.40486774469447717
121,7Networks_RH_Cont_PFCmp_1,0.4027531299292983
122,7Networks_RH_Cont_PFCmp_2,0.40013262154592666
123,7Networks_RH_DorsAttn_Post_5,0.39819876820455635
124,7Networks_LH_Cont_Cing_1,0.3973118221335448
125,7Networks_RH_Vis_6,0.39604127455249477
126,7Networks_LH_Vis_8,0.39250901382557585
127,7Networks_LH_SomMot_8,0.39154544067709546
128,7Networks_LH_Default_PHC_1,0.38871293506043203
129,7Networks_LH_DorsAttn_Post_5,0.3874829494572066
130,7Networks_RH_SalVentAttn_Med_1,0.38667503967560446
131,7Networks_RH_Default_PFCdPFCm_6,0.38557660992879594
132,7Networks_LH_SalVentAttn_Med_1,0.3837941941700952
133,7Networks_RH_SomMot_8,0.37814675337758247
134,7Networks_LH_Cont_Par_3,0.37661097491029416
135,7Networks_RH_SomMot_11,0.37380706676636016
136,7Networks_LH_Cont_pCun_1,0.37321458499830745
137,7Networks_LH_SalVentAttn_Med_2,0.37076118935324515
138,7Networks_RH_SalVentAttn_FrOperIns_2,0.3693643893801758
139,7Networks_RH_DorsAttn_FEF_2,0.3678461929054686
140,7Networks_LH_SomMot_4,0.36393661030544205
141,7Networks_LH_Default_PFC_3,0.3635131095273443
142,7Networks_LH_SalVentAttn_FrOperIns_4,0.36315036497920006
143,7Networks_RH_DorsAttn_PrCv_1,0.36301681001331254
144,7Networks_RH_SomMot_2,0.3622058716741556
145,7Networks_RH_SomMot_5,0.3576152866873931
146,7Networks_LH_Default_PFC_12,0.34683920312150057
147,7Networks_RH_Default_Par_2,0.33374297592644864
148,7Networks_LH_Vis_2,0.32493719681623723
149,7Networks_RH_Cont_PFCl_6,0.32295021181484523
150,7Networks_LH_SomMot_1,0.32020813547543764
151,7Networks_RH_DorsAttn_Post_2,0.31871603383433306
152,7Networks_LH_DorsAttn_Post_6,0.31795647142193856
153,7Networks_RH_Default_PFCv_1,0.3148298483453487
154,7Networks_RH_SomMot_4,0.31225745343200056
155,7Networks_RH_DorsAttn_Post_4,0.30336034117831046
156,7Networks_RH_SalVentAttn_Med_2,0.3007328561067876
157,7Networks_LH_SalVentAttn_FrOperIns_3,0.30056366712273613
158,7Networks_LH_SalVentAttn_FrOperIns_2,0.2992858595820169
159,7Networks_LH_DorsAttn_PrCv_1,0.29587893670804744
160,7Networks_RH_SomMot_3,0.29403091956503496
161,7Networks_LH_Cont_PFCl_5,0.29253042980475613
162,7Networks_RH_SalVentAttn_FrOperIns_4,0.29070251926572843
163,7Networks_RH_SomMot_6,0.2892917189126699
164,7Networks_LH_SomMot_5,0.2868750187375641
165,7Networks_LH_SomMot_3,0.2802997135854709
166,7Networks_RH_SalVentAttn_FrOperIns_3,0.2788287492980435
167,7Networks_LH_SalVentAttn_ParOper_1,0.2762180266788834
